US,AL,AK,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
272690813,4369862,619500,2551373,4778332,33145121,4056133,3282031,519000,753538,15111244,7788240,1185497,1251700,12128370,5942901,2869413,2654052,3960825,4372035,1253040,5171634,6175169,9863775,4775508,2768619,5468338,882779,1666028,1809253,1201134,8143412,1739844,18196601,7650789,633666,11256654,3358044,3316154,11994016,990819,3885736,733133,5483535,20044141,2129836,593740,6872912,5756361,1806928,5250446,479602
282171957,4451849,627499,2678288,5166697,33994571,4328070,3411726,571744,786411,16047118,8230161,1211566,1299551,12437645,6091649,2928184,2692810,4048903,4468979,1277211,5310579,6363015,9955308,4933958,2848310,5606065,903293,1713345,2018211,1240446,8430921,1820813,18998044,8079383,641200,11363844,3453943,3430891,12285504,1050736,4023570,755694,5703243,20945963,2244314,609903,7104533,5911122,1806962,5374254,493958
285081556,4464034,633316,2691068,5304417,34485623,4433068,3428433,578042,794620,16353869,8419594,1218305,1321170,12507833,6124967,2929424,2701456,4069191,4460816,1284791,5375033,6411730,10006093,4982813,2853313,5643986,905873,1717948,2094509,1256879,8489469,1828809,19088978,8203451,636267,11396874,3464729,3470382,12299533,1058051,4062701,758983,5755443,21332847,2291250,612153,7191304,5987785,1798582,5408769,492982
287803914,4472420,642691,2704732,5452108,34876194,4504265,3448382,579585,804131,16680309,8585535,1228069,1342149,12558229,6149007,2929264,2712598,4091330,4466068,1293938,5439913,6440978,10038767,5017458,2858643,5680852,909868,1725083,2166214,1271163,8544115,1850035,19161873,8316617,633617,11420981,3484754,3517111,12326302,1066034,4103934,762107,5803306,21710788,2334473,614950,7283541,6056187,1799411,5446766,497069
290326418,4490591,650884,2722291,5591206,35251107,4548775,3467673,577777,814905,16981183,8735259,1239298,1364109,12597981,6181789,2932799,2721955,4118627,4474726,1303102,5496708,6451637,10066351,5047862,2867678,5714847,916750,1733680,2236949,1281871,8583481,1869683,19231101,8416451,632809,11445180,3498687,3550180,12357524,1071504,4146474,766975,5856522,22057801,2379938,616559,7373694,6113262,1802238,5476796,499189
293045739,4512190,661569,2746161,5759425,35558419,4599681,3474610,579796,826639,17375259,8913676,1252782,1391718,12645295,6214454,2941358,2730765,4147970,4489327,1308253,5542659,6451279,10089305,5079344,2886006,5758444,925887,1742184,2328703,1292766,8611530,1891829,19297933,8531283,636303,11464593,3514449,3573505,12388368,1071414,4201306,774283,5916762,22418319,2438915,618145,7468914,6184289,1803302,5511385,502988
295753151,4545049,669488,2776221,5974834,35795255,4660780,3477416,582049,839906,17783868,9097428,1266117,1425862,12674452,6253120,2949450,2741771,4182293,4497691,1311631,5582520,6453031,10090554,5106560,2900116,5806639,934801,1751721,2408804,1301415,8621837,1916538,19330891,8669452,635365,11475262,3532769,3617869,12418161,1064989,4256199,780084,5995748,22801920,2499637,618814,7563887,6261282,1803920,5541443,506242
298593212,4597688,677325,2815097,6192100,35979208,4753044,3485162,583978,853022,18088505,9330086,1275599,1464413,12718011,6301700,2964391,2755700,4219374,4240327,1314963,5612196,6466399,10082438,5148346,2897150,5861572,946230,1760435,2493405,1311894,8623721,1942608,19356564,8866977,636771,11492495,3574334,3677545,12471142,1060196,4339399,788519,6089453,23369024,2583724,619985,7646996,6372243,1807237,5571680,512841
301579895,4637904,682297,2842194,6362241,36226122,4842259,3488633,586409,864896,18277888,9533761,1276832,1499245,12779417,6346113,2978719,2775586,4256278,4376122,1317308,5634242,6499275,10050847,5191206,2921723,5909824,957225,1769912,2567752,1317343,8636043,1968731,19422777,9064074,638202,11520815,3612186,3732957,12522531,1055009,4424232,797035,6172862,23837701,2663796,620460,7719749,6464979,1811198,5601571,523414
304374846,4677464,688125,2867764,6499377,36580371,4935213,3502932,590074,876211,18423878,9697838,1287481,1527506,12842954,6388309,2993987,2797375,4287931,4451513,1319691,5658655,6543595,10002486,5230567,2940212,5956335,968035,1781949,2615772,1321872,8663398,1986763,19467789,9247134,641421,11528072,3644025,3782991,12566368,1053502,4503280,804532,6240456,24304290,2727343,621049,7795424,6566073,1814873,5627610,532981
307006550,4708708,698473,2889450,6595778,36961664,5024748,3518288,599657,885122,18537969,9829211,1295178,1545801,12910409,6423113,3007856,2818747,4314113,4492076,1318301,5699478,6593587,9969727,5266214,2951996,5987580,974989,1796619,2643085,1324575,8707739,2009671,19541453,9380884,646844,11542645,3687050,3825657,12604767,1053209,4561242,812383,6296254,24782302,2784572,621760,7882590,6664195,1819777,5654774,544270
309321666,4785437,713910,2921964,6407172,37319502,5047349,3579114,605226,899593,18845537,9711881,1363963,1570746,12840503,6490432,3050745,2858190,4348181,4544532,1327629,5788645,6566307,9877510,5310828,2970548,5995974,990697,1829542,2702405,1316762,8799446,2064552,19399878,9574323,674715,11539336,3759944,3837491,12711160,1053959,4635649,816166,6355311,25241971,2775332,625879,8023699,6742830,1854239,5690475,564487
311556874,4799069,722128,2940667,6472643,37638369,5121108,3588283,619800,907381,19053237,9802431,1379329,1583910,12867454,6516528,3066336,2869225,4369821,4575625,1328284,5839419,6613583,9882412,5346143,2978731,6010275,997316,1840672,2712730,1320202,8828117,2080450,19499241,9657592,685225,11544663,3788379,3872036,12745815,1053649,4671994,823579,6399291,25645629,2814384,627049,8101155,6826627,1856301,5705288,567299
313830990,4815588,730443,2952164,6554978,37948800,5192647,3594547,634924,915179,19297822,9901430,1394804,1595324,12882510,6537703,3076190,2885257,4386346,4600972,1327729,5886992,6663005,9897145,5376643,2983816,6024367,1003783,1853303,2743996,1324232,8844942,2087309,19572932,9749476,701176,11548923,3818814,3899001,12767118,1054621,4717354,833566,6453898,26084481,2853375,626090,8185080,6897058,1856872,5719960,576305
315993715,4830081,737068,2959400,6632764,38260787,5269035,3594841,650581,923576,19545621,9972479,1408243,1611206,12895129,6568713,3092997,2893212,4404659,4624527,1328009,5923188,6713315,9913065,5413479,2988711,6040715,1013569,1865279,2775970,1326622,8856972,2092273,19624447,9843336,722036,11576684,3853214,3922468,12776309,1055081,4764080,842316,6494340,26480266,2897640,626210,8252427,6963985,1853914,5736754,582122
318301008,4841799,736283,2967392,6730413,38596972,5350101,3594524,662328,932487,19845911,10067278,1414538,1631112,12884493,6593644,3109350,2900475,4414349,4644013,1330513,5957283,6762596,9929848,5451079,2990468,6056202,1021869,1879321,2817628,1333341,8864525,2089568,19651049,9932887,737401,11602700,3878187,3963244,12788313,1055936,4823617,849129,6541223,26964333,2936879,625214,8310993,7054655,1849489,5751525,582531
320635163,4852347,737498,2978048,6829676,38918045,5450623,3587122,675400,941252,20209042,10178447,1422052,1651059,12858913,6608422,3120960,2909011,4425976,4664628,1328262,5985562,6794228,9931715,5482032,2988471,6071732,1030475,1891277,2866939,1336350,8867949,2089291,19654666,10031646,754066,11617527,3909500,4015792,12784826,1056065,4891938,853988,6591170,27470056,2981835,625216,8361808,7163657,1842050,5760940,585613
322941311,4863525,741456,2989918,6941072,39167117,5539215,3578141,685815,948921,20613477,10301890,1427559,1682380,12820527,6634304,3131371,2910844,4438182,4678135,1331317,6003323,6823608,9950571,5522744,2987938,6087135,1040859,1905616,2917563,1342307,8870827,2091630,19633428,10154788,754434,11634370,3926331,4089976,12782275,1056770,4957968,862996,6646010,27914410,3041868,623657,8410106,7294771,1831023,5772628,584215
324985539,4874486,739700,3001345,7044008,39358497,5611885,3573297,694906,956823,20963613,10410330,1424393,1717715,12778828,6658078,3141550,2908718,4452268,4670560,1334612,6023868,6859789,9973114,5566230,2988510,6106670,1052482,1915947,2969905,1348787,8885525,2091784,19589572,10268233,754942,11659650,3931316,4143625,12787641,1055673,5021268,872868,6708799,28295273,3101042,624344,8463587,7423362,1817004,5790186,578931
326687501,4887681,735139,3009733,7158024,39461588,5691287,3571520,701547,965479,21244317,10511131,1420593,1750536,12723071,6695497,3148618,2911359,4461153,4659690,1339057,6035802,6882635,9984072,5606249,2981020,6121623,1060665,1925614,3027341,1353465,8886025,2092741,19530351,10381615,758080,11676341,3940235,4181886,12800922,1058287,5084156,878698,6771631,28628666,3153550,624358,8501286,7523869,1804291,5807406,577601
328239523,4903185,731545,3017804,7278717,39512223,5758736,3565287,705749,973764,21477737,10617423,1415872,1787065,12671821,6732219,3155070,2913314,4467673,4648794,1344212,6045680,6892503,9986857,5639632,2976149,6137428,1068778,1934408,3080156,1359711,8882190,2096829,19453561,10488084,762062,11689100,3956971,4217737,12801989,1059361,5148714,884659,6829174,28995881,3205958,623989,8535519,7614893,1792147,5822434,578759
